trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
62,False,"{'a': 0.5, 'e': 0.7334469562242892}",20,0,-104.48130417763251,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.7297888742690568}",20,7,-54.34890704212932,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.7261490370736909}",20,9,-62.0572746311113,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.7225273536420722}",25,15,-5.5906558794056,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.7189237334319262}",25,0,-144.92328031672133,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.7153380863525599}",25,0,-139.28288668444515,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.7117703227626097}",20,0,-49.350462888314645,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.7082203534678}",20,12,4.712932376349058,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.7046880897187134}",20,0,-49.47834400675059,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.7011734432085724}",20,1,-40.10103249776104,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.697676326071031}",25,0,-68.01198515929497,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.6941966508779789}",25,0,-105.35041844754812,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.6907343306373547}",20,0,-9.855492225611517,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.6872892787909722}",25,0,-65.65374416531797,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.6838614092123558}",25,17,-40.2275223210198,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
